pos,title,article,vat_rate,vat_rate_card
2,Брюки - 2 Шт. H&M Черный 104 размер,0540334027,10,22.0
3,Платье H&M Голубой 122/128 размер,0870530133,10,22.0
4,Платье H&M Черный/Разноцветный 110/116 размер,0922706019,10,22.0
5,Платье H&M Черный/Разноцветный 122/128 размер,0922706019,10,22.0
6,Платье H&M Черный/Разноцветный 134/140 размер,0922706019,10,22.0
7,Платье H&M Черный/Разноцветный 98/104 размер,0922706019,10,22.0
8,Платье H&M Черный/Разноцветный 92 размер,0922706019,10,22.0
11,Платье H&M Черный 110/116 размер,0931992026,10,22.0
12,Платье H&M Черный 98/104 размер,0931992026,10,22.0
13,Платье H&M Синий 110/116 размер,0931992030,10,22.0
19,Платье H&M Фиолетовый 110/116 размер,0975324024,10,22.0
25,"Пижама H&M Зеленый, Красный 110/116 размер",1006441006,10,22.0
26,Ботинки H&M Черный 31 размер,1008826001,22,10.0
27,Платье H&M Зеленый 92 размер,1014339001,10,22.0
28,Худи H&M Черный 170 размер,1017410001,10,22.0
31,Платье H&M Голубой 110/116 размер,1022630001,10,22.0
32,Платье H&M Голубой 122/128 размер,1022630001,10,22.0
33,"Платье H&M Зеленый, Розовый, Фиолетовый, Белый 134/140 размер",1022630016,10,22.0
34,"Свитшот H&M Желтый, Бежевый, Фиолетовый 146/152 размер",1028439001,10,22.0
35,"Свитшот H&M Фиолетовый, Лиловый, Оранжевый 146/152 размер",1028742001,10,22.0
38,Толстовка H&M Серый 92 размер,1037832009,10,22.0
39,Толстовка H&M Коричневый 98/104 размер,1037832010,10,22.0
40,Толстовка H&M Коричневый 92 размер,1037832010,10,22.0
44,Платье H&M Желтый 110/116 размер,1048382005,10,22.0
45,Платье H&M Желтый 122/128 размер,1048382005,10,22.0
49,Футболка H&M Зеленый 134/140 размер,1062332006,10,22.0
50,Платье H&M Бежевый 110/116 размер,1068893003,10,22.0
51,Худи H&M Красный 158/164 размер,1070031004,10,22.0
52,Платье H&M Коричневый 98/104 размер,1070594001,10,22.0
53,Платье H&M Синий 116 размер,1071109007,10,22.0
54,Худи H&M Зеленый 146/152 размер,1071788001,10,22.0
58,"Футболка H&M Фиолетовый, Лиловый 146/152 размер",1078995010,10,22.0
59,"Футболка H&M Бирюзовый, Голубой 146/152 размер",1078995011,10,22.0
60,"Футболка H&M Бирюзовый, Голубой 158/164 размер",1078995011,10,22.0
61,Свитшот H&M Коричневый 146/152 размер,1081566003,10,22.0
66,Свитшот H&M Черный 146/152 размер,1090499004,10,22.0
67,Свитшот H&M Черный 158/164 размер,1090499004,10,22.0
70,Комбинезон H&M Черный 134/140 размер,1092685001,10,22.0
71,Комбинезон H&M Синий 146/152 размер,1092687001,10,22.0
72,Комбинезон H&M Синий 158/164 размер,1092687001,10,22.0
81,Брюки H&M Черный 122/128 размер,1102075001,10,22.0
82,Брюки H&M Черный 170 размер,1102075001,10,22.0
90,Свитшот H&M Красный 98/104 размер,1117455005,10,22.0
91,Свитшот H&M Серый 98/104 размер,1117459012,10,22.0
94,Свитшот H&M Бежевый 134/140 размер,1126701004,10,22.0
95,Свитшот H&M Бежевый 158/164 размер,1126701004,10,22.0
97,Брюки H&M Розовый 134 размер,1129499002,10,22.0
100,Платье H&M Серый 146/152 размер,1137313006,10,22.0
102,Платье H&M Зеленый 98/104 размер,1140055003,10,22.0
104,Свитшот H&M Голубой 146/152 размер,1144454001,10,22.0
106,Бомбер H&M Хаки 74 размер,1146272001,10,22.0
118,Платье H&M Голубой 56 размер,1151516002,10,22.0
127,Платье H&M Белый 134/140 размер,1157735004,10,22.0
128,Платье H&M Бежевый 110/116 размер,1157735037,10,22.0
129,Платье H&M Бежевый 134/140 размер,1157735037,10,22.0
130,Платье H&M Розовый 134/140 размер,1157735039,10,22.0
134,Свитшот H&M Синий 110/116 размер,1161567005,10,22.0
136,Свитшот H&M Черный 98/104 размер,1164576001,10,22.0
137,Джинсы H&M Синий 104 размер,1168072002,10,22.0
140,"Брюки Спортивные 2 Шт. H&M Розовый, Белый 110 размер",1173611002,10,22.0
141,"Брюки Спортивные 2 Шт. H&M Розовый, Белый 122 размер",1173611002,10,22.0
142,"Брюки Спортивные 2 Шт. H&M Розовый, Белый 140 размер",1173611002,10,22.0
149,Куртка H&M Коричневый 74 размер,1176994001,10,22.0
159,Куртка H&M Черный 158 размер,1181072002,10,22.0
160,Куртка H&M Черный 164 размер,1181072002,10,22.0
182,Брюки Спортивные H&M Темно-Серый 116 размер,1193725004,10,22.0
187,Бомбер H&M Черный 170 размер,1196847001,22,10.0
191,Худи H&M Черный 110/116 размер,1203011003,10,22.0
201,Брюки H&M Серый 122/128 размер,1210682001,10,22.0
303,Костюм Для Малышей H&M Светло-Розовый 86 размер,0942804018,10,22.0
398,Костюм Для Малышей H&M Светло-бежевый 92 размер,1028509005,22,10.0
399,Костюм Для Малышей H&M Светло-бежевый 98 размер,1028509005,22,10.0
