category,subject,commission_cc_pct,commission_dbs_pct,commission_edbs_pct,commission_fbs_pct,commission_fbw_pct,commission_booking_pct
Отделочные материалы,Плитки для подвесного потолка,38.5,45.0,3.0,33.0,28.5,38.5
Красота,Соль для маникюра и педикюра,42.5,45.0,3.0,45.0,40.5,42.5
Одежда для малышей,Футболки для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Спортивный товар,Жилеты страховочные,37.5,45.0,3.0,37.0,32.5,37.5
Продукты,Печенье,4.5,4.5,3.0,35.0,30.5,4.5
Электрика,Реле напряжения,38.5,45.0,3.0,35.0,30.5,38.5
Белье,Соединители бретелей,44.5,45.0,3.0,41.0,36.5,44.5
Бытовая химия,Гели для стирки,39.5,45.0,3.0,38.0,33.5,39.5
Посуда и инвентарь,Коробки для десертов,39.5,45.0,3.0,43.0,38.5,39.5
Садовые инструменты и полив,Держатели для шланга,39.5,45.0,3.0,39.0,34.5,39.5
Автоаксессуары и дополнительное оборудование,Установки развала и схождения колёс,36.5,45.0,3.0,40.0,35.5,36.5
Автозапчасти,Крестовины для авто,36.5,45.0,3.0,36.0,31.5,36.5
Продукты,Финики,4.5,4.5,3.0,35.0,30.5,4.5
Посуда и инвентарь,Мерные ложки,39.5,45.0,3.0,36.0,31.5,39.5
Спортивные аксессуары,Перчатки ММА,39.5,45.0,3.0,43.0,38.5,39.5
Игрушки,Лабиринты,38.5,45.0,3.0,38.0,33.5,38.5
Товары для животных,Будки для собак,31.5,35.0,3.0,34.0,29.5,31.5
Товары для животных,Скребки для аквариума,31.5,35.0,3.0,31.0,26.5,31.5
Бытовая химия,Средства для очистки сажи,39.5,45.0,3.0,43.0,38.5,39.5
Декор интерьера,Теплоувлажнители,39.5,45.0,3.0,33.0,28.5,39.5
Садовая техника,Мойки высокого давления,29.5,35.0,3.0,33.0,28.5,29.5
Спортивный товар,Рули велосипедные,37.5,45.0,3.0,41.0,36.5,37.5
Профессиональные музыкальные инструменты,Заглушающие кольца для барабанов,38.5,45.0,3.0,42.0,31.5,38.5
Продукты,Пряники,4.5,4.5,3.0,35.0,30.5,4.5
Посуда и инвентарь,Самовары,39.5,45.0,3.0,40.0,35.5,39.5
Аксессуары,Фиксаторы для очков,44.5,45.0,3.0,39.0,34.5,44.5
Продукты,Буженина,4.5,4.5,3.0,26.0,21.5,4.5
Продукты,Замороженное тесто,4.5,4.5,3.0,26.0,21.5,4.5
Одежда для малышей,Костюмы для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Спортивный товар,Велохимия,37.5,45.0,3.0,41.0,36.5,37.5
Автоаксессуары и дополнительное оборудование,Щетки автомобильные,36.5,45.0,3.0,36.0,31.5,36.5
Здоровье,Компрессионные рукава,42.5,45.0,3.0,45.0,40.5,42.5
Товары для животных,Боксы для рулеток,31.5,35.0,3.0,35.0,30.5,31.5
Автоаксессуары и дополнительное оборудование,Кофеварки автомобильные,36.5,45.0,3.0,40.0,35.5,36.5
Сантехника,Ручки для смесителей,37.5,45.0,3.0,41.0,36.5,37.5
Спортивная одежда,Рубашки спортивные,44.5,45.0,3.0,48.0,43.5,44.5
Автохимия и автокосметика,Лосьоны для кожи салона,36.5,45.0,3.0,36.0,31.5,36.5
Детское питание,Питание для кормящих и беременных,4.5,4.5,3.0,33.0,28.5,4.5
Товары для курения,Зажигалки,38.5,45.0,3.0,38.0,33.5,38.5
Канцелярские товары,Боксы для коллекционирования,39.5,45.0,3.0,37.0,32.5,39.5
Фото и Видеотехника,Кронштейны для видеотехники,38.5,45.0,3.0,41.5,37.0,38.5
Автозапчасти,Кольца поршневые,36.5,45.0,3.0,36.0,31.5,36.5
Садовые инструменты и полив,Обратные клапаны для насосов,39.5,45.0,3.0,43.0,38.5,39.5
Ручной инструмент и оснастка,Резчики швов,41.5,45.0,3.0,44.5,36.0,41.5
Декор интерьера,Рамы багетные,39.5,45.0,3.0,39.0,34.5,39.5
Спортивный товар,Палки для скандинавской ходьбы и треккинга,37.5,45.0,3.0,41.0,36.5,37.5
Автохимия и автокосметика,Клей автомобильный,36.5,45.0,3.0,36.0,31.5,36.5
Продукты,Молоко растительное,4.5,4.5,3.0,34.0,29.5,4.5
Ручной инструмент и оснастка,Люксметры,41.5,45.0,3.0,45.0,40.5,41.5
Спортивная одежда,Велочулки,44.5,45.0,3.0,48.0,43.5,44.5
Отделочные материалы,Листы пробковые,38.5,45.0,3.0,42.0,37.5,38.5
Автоаксессуары и дополнительное оборудование,Таксометры,36.5,45.0,3.0,35.5,31.0,36.5
Ювелирные украшения,Ювелирные ручки,43.0,45.0,3.0,43.0,42.0,43.0
Товары для животных,Распылители для аквариума,31.5,35.0,3.0,35.0,30.5,31.5
Продукты,Шницели,4.5,4.5,3.0,26.0,21.5,4.5
Бижутерия,Подвески бижутерные,38.5,45.0,3.0,42.0,37.5,38.5
