category,markup_pct
Автомобильные товары,16.67
Автоэлектроника,16.67
Аксессуары,41.49
Аксессуары для волос,22.41
Аксессуары для малышей,41.49
Аксессуары для обуви,22.41
Алкогольная продукция,19.44
Белье,41.49
Белье для малышей,41.49
Бижутерия,27.38
Бытовая техника,19.90
Бытовая химия,22.41
Ветаптека,31.37
Все для садоводства,17.94
Головные уборы,41.49
Декор интерьера,26.93
Детское питание,19.66
Для праздника,27.38
Здоровье,31.37
Игровые консоли и игры,17.07
Игрушки,32.50
Канцелярские товары,39.80
Книжная продукция и диски,34.71
Красота,29.54
Крупная бытовая техника,19.90
Мебель для сна,26.93
Мебель корпусная и мебель для хранения,26.93
Мебель малых форм,26.93
Мебель мягкая,26.93
Мебель офисная и торговое оборудование,26.93
Мебель садовая,26.93
Мототовары,17.02
Ноутбуки и компьютеры,17.07
Обувь,42.24
Одежда,41.49
Одежда для малышей,41.49
Оргтехника,17.07
Освещение,26.93
Отделочные материалы,17.94
Периферия и аксессуары,17.07
Посуда и инвентарь,26.93
Продукты,19.03
Профессиональные музыкальные инструменты,26.93
Ремесленные товары,17.94
Рукоделие,17.94
Ручной инструмент и оснастка,17.94
Садовая техника,17.94
Садовые инструменты,17.94
Сантехника,17.94
Сервисные услуги,18.84
Сетевое оборудование,17.07
Смартфоны и аксессуары,30.82
Спецодежда и СИЗы,41.49
Спортивная обувь,30.00
Спортивная одежда,30.00
Спортивное питание и косметика,30.00
Спортивные аксессуары,30.00
Спортивный товар,30.00
Страхование,16.25
Строительные материалы,17.94
Текстиль для дома,39.63
Телевизоры и аудиотехника,18.22
Техника для кухни,19.90
Товары для взрослых,22.68
Товары для животных,29.78
Товары для курения,14.62
Товары для малышей,22.68
Товары для отдыха и кемпинга,30.00
Транспортные средства,11.05
Умный дом и безопасность,26.93
Фарма,31.37
Фото- и видеотехника,27.38
Хозяйственные товары,22.68
Хранение вещей,26.93
Шторы и аксессуары,39.63
Электроинструмент и оборудование,19.90
Электроника,19.90
Электротранспорт,27.38
Ювелирные украшения,43.82
